content_cleaned,content_segmented,sentiment,sentiment_label,score,bank_name
"dev ngu vl. ai mượn tự động chụp ảnh lúc xác thực căn cước? làm thêm nút bấm chụp không được hay sao? chưa kịp căn ảnh lấy nét là đã tự chụp, rồi nhấn xác nhận thì không được vì ảnh mờ. có cái ứng dụng banking mà t cay từ lúc tải về tới bây giờ, tiền thuê dev cũng cắn nữa hay sao?","dev ngu vl . ai mượn tự_động chụp ảnh lúc xác_thực căn_cước ? làm thêm nút bấm chụp không được hay sao ? chưa kịp căn_ảnh lấy nét là đã tự chụp , rồi nhấn xác_nhận thì không được vì ảnh mờ . có cái ứng_dụng banking mà t_cay từ lúc tải về tới bây_giờ , tiền thuê dev cũng cắn nữa hay sao ?",negative,0,1,BIDV
áp bị kêu không an toàn gỡ tải cài đặt lại..mãi hoài cũng vậy..,áp bị kêu không an_toàn gỡ_tải cài_đặt lại .. mãi hoài cũng vậy ..,negative,0,1,BIDV
cập nhật xong lag vãi vô cứ xoay xoay giao dịch cả 5p mới chịu nhảy cay vãi,cập_nhật xong lag_vãi vô cứ xoay_xoay giao_dịch cả 5 p mới chịu nhảy_cay vãi,negative,0,1,BIDV
vào ứng dụng ck cho người ta mà cứ xoay quài hổm rài chưa hết nữa là như thế nào,vào ứng_dụng ck cho người ta mà cứ xoay quài hổm rài chưa hết nữa là như_thế_nào,negative,0,1,BIDV
"toàn yêu cầu bị gián đoạn, mấy hôm r, ứng dụng quá kém","toàn yêu_cầu bị gián_đoạn , mấy hôm r , ứng_dụng quá kém",negative,0,1,BIDV
cập nhật xong cái mật khẩu chuyển tiền số nó nhảy lung tung quá vậy,cập_nhật xong cái mật_khẩu chuyển tiền số nó nhảy lung_tung quá vậy,negative,0,1,BIDV
"gần đây ứng dụng lag cực kỳ, giao dịch toàn lỗi mạng","gần đây ứng_dụng lag cực_kỳ , giao_dịch toàn lỗi mạng",negative,0,1,BIDV
"cập nhật cập nhật suốt mà chuyển tiền thì không được, cứ lỗi lỗi suốt","cập_nhật cập_nhật suốt mà chuyển tiền thì không được , cứ lỗi lỗi suốt",negative,0,1,BIDV
t mở ứng dụng không được luôn luôn. như ứng dụng bị lỗi hay gì,t mở ứng_dụng không được luôn_luôn . như ứng_dụng bị lỗi hay gì,negative,0,1,BIDV
tại như thế nào không gửi mật khẩu để tôi tạo tài khoản,tại như_thế_nào không gửi mật_khẩu để tôi tạo tài_khoản,negative,0,1,BIDV
lệ phí gì mà trừ tiền miết luôn t xóa ứng dụng,lệ_phí gì mà trừ tiền miết luôn t_xóa ứng_dụng,negative,0,1,BIDV
tạo mãi không được cái nfc chịu hẳn,tạo mãi không được cái nfc chịu hẳn,negative,0,1,BIDV
ngân hàng lô quay 800 vòng là không phản hồi,ngân_hàng lô quay 800 vòng là không phản_hồi,negative,0,1,BIDV
má lag như chó vậy,má lag như chó vậy,negative,0,1,BIDV
lúc nào cũng hệ thống gián đoạn,lúc_nào cũng hệ_thống gián_đoạn,negative,0,1,BIDV
cứ load mãi,cứ load mãi,negative,0,1,BIDV
ứng dụng bị đơ à,ứng_dụng bị đơ à,negative,0,1,BIDV
lỗi quá nhiều,lỗi quá nhiều,negative,0,1,BIDV
ứng dụng cực chán,ứng_dụng cực chán,negative,0,1,BIDV
"tệ, rác","tệ , rác",negative,0,1,BIDV
lag rất lag,lag rất lag,negative,0,1,BIDV
"vừa mở cảm ơn được 4 ngày, trong cảm ơn chưa có đồng nào, tự dưng bị trừ 5,4k. ngang ăn cướp","vừa mở cảm_ơn được 4 ngày , trong cảm_ơn chưa có đồng_nào , tự_dưng bị trừ 5,4_k . ngang ăn cướp",negative,0,1,BIDV
"rất bực mình,mấy ngày mới kích hoạt được,kích hoạt rồi đăng nhập không được, toàn thông báo yêu cầu của quý khách đang bị dán đoạn. chán.","rất bực_mình , mấy ngày mới kích_hoạt được , kích_hoạt rồi đăng_nhập không được , toàn thông_báo yêu_cầu của quý_khách đang bị dán đoạn . chán .",negative,0,1,BIDV
ứng dụng gì kêu khai thông tin chọn chỉ nhánh mà vô tìm không chỉ nhánh nào hiện ra để chọn. ứng dụng bị ngu à,ứng_dụng gì kêu khai_thông_tin chọn chỉ nhánh mà vô tìm không_chỉ nhánh nào hiện ra để chọn . ứng_dụng bị ngu à,negative,0,1,BIDV
"xác thực giao dịch sinh trắc học khuôn mặt quá kém, nhận diện lâu quá trời, dùng điện thoại cao cấp mà còn quét lâu thì nói gì ba cái điện thoại dỏm","xác_thực giao_dịch sinh trắc_học khuôn_mặt quá kém , nhận_diện lâu quá trời , dùng điện_thoại cao_cấp mà_còn quét lâu thì nói gì ba cái điện_thoại dỏm",negative,0,1,BIDV
bản cập nhật mới siêu xấu và t ghét cái chỗ nhập mình thanh toán thì số chữ để linh tinh phải dò,bản cập_nhật mới siêu_xấu và t_ghét cái chỗ nhập mình thanh_toán thì số chữ để linh_tinh phải dò,negative,0,1,BIDV
"tiền trong tài khoản thường xuyên bị trừ không có lý do, để trong cảm ơn 5k cũng bị trừ hết, để 10k cũng trừ hết, 15k cũng trừ hết.","tiền trong tài_khoản thường_xuyên bị trừ không có lý_do , để trong cảm_ơn 5 k cũng bị trừ hết , để 10 k cũng trừ hết , 15 k cũng trừ hết .",negative,0,1,BIDV
đổi điện thoại cái thôi là khỏi vào ứng dụng mong được khắc phục còn không cho lấy lại mật khẩu không biết vào kiểu gì bà con nên chuyển qua sài mb bank,đổi điện_thoại cái thôi là khỏi vào ứng_dụng mong được khắc_phục còn không cho lấy lại mật_khẩu không biết vào kiểu gì bà_con nên chuyển qua sài mb bank,negative,0,1,BIDV
"dạo này ứng dụng rất chậm rất tệ, toàn phải lấy ứng dụng ngân hàng khác ra thanh toán","dạo này ứng_dụng rất chậm rất tệ , toàn phải lấy ứng_dụng ngân_hàng khác ra thanh_toán",negative,0,1,BIDV
ứng dụng như cc lặp đi lặp với xác minh vneid đăng nhập rồi lại bắt thoát ra xác minh,ứng_dụng như cc lặp_đi_lặp với xác_minh vneid đăng_nhập rồi lại bắt thoát ra xác_minh,negative,0,1,BIDV
sử dụng ứng dụng vào buổi tối vô cùng lag gây rất bất tiện cho người dùng,sử_dụng ứng_dụng vào buổi tối vô_cùng lag gây rất bất_tiện cho người dùng,negative,0,1,BIDV
lỗi bao lâu không xử lý dk. vào toàn bị out ra,lỗi bao_lâu không xử_lý dk . vào toàn bị out ra,negative,0,1,BIDV
"trải nghiệm mở tài khoản online rất tệ, lỗi mãi không mở được cái tài khoản","trải_nghiệm mở tài_khoản online rất tệ , lỗi mãi không mở được cái tài_khoản",negative,0,1,BIDV
cập nhật xg không chuyển tìn được lun nó quay quay hoài tr ơi,cập_nhật xg không chuyển tìn được lun nó quay quay hoài_tr ơi,negative,0,1,BIDV
"lag hoài, đi ăn chuyển tiền đứng đợi cả buổi","lag hoài , đi ăn_chuyển tiền đứng đợi cả buổi",negative,0,1,BIDV
đổi điện thoại phát là khỏi vô được lun,đổi điện_thoại phát là khỏi vô được lun,negative,0,1,BIDV
"lag kinh khủng, quay vòng vòng mãi không ck được","lag kinh_khủng , quay_vòng_vòng mãi không ck được",negative,0,1,BIDV
"quá chậm, mãi mới ck được","quá chậm , mãi mới ck được",negative,0,1,BIDV
chọn chỉ nhánh không được,chọn chỉ nhánh không được,negative,0,1,BIDV
quá lag quá tệ. mong khắc phục,quá lag quá tệ . mong khắc_phục,negative,0,1,BIDV
lag với,lag với,negative,0,1,BIDV
ứng dụng chậm,ứng_dụng chậm,negative,0,1,BIDV
"đêm qua tôi bị trừ tiền không biết lý lo, gọi cho nhân viên tư vấn 5 cuộc thì bị cúp máy tôi có ghi âm. thật sự tôi không muốn cho 1 như thế nào đâu vì 0 cho như thế nào sẽ không đánh giá đc. phục vụ cực tệ. bảo vệ tài khoản khách hàng càng tệ","đêm qua tôi bị trừ tiền không biết lý lo , gọi cho nhân_viên tư_vấn 5 cuộc thì bị cúp máy tôi có ghi_âm . thật_sự tôi không muốn cho 1 như_thế_nào đâu vì 0 cho như_thế_nào sẽ không đánh_giá đc . phục_vụ cực_tệ . bảo_vệ tài_khoản khách_hàng càng tệ",negative,0,1,BIDV
toàn mã khuyến mãi ảo không có thực để lừa người dùng. canh đúng thời gian mở mã để vào săn thì đều hiện mã đã hết.,toàn_mã khuyến_mãi ảo không có thực để lừa người dùng . canh đúng thời_gian mở_mã để vào săn thì đều hiện_mã đã hết .,negative,0,1,BIDV
"rất bức xúc về việc trừ phí qltk, trường thì bắt dùng, đã sinh viên khó khăn mà còn vậy thiệt hết nói nổi","rất bức_xúc về việc trừ phí qltk , trường thì bắt dùng , đã sinh_viên khó_khăn mà_còn vậy thiệt hết nói nổi",negative,0,1,BIDV
ứng dụng ngân hàng mà mỗi lần reset máy điện thoại vì bất kỳ lý do nào đều bị khóa đăng nhập.,ứng_dụng ngân_hàng mà mỗi lần reset máy điện_thoại vì bất_kỳ lý_do nào đều bị khóa đăng_nhập .,negative,0,1,BIDV
"chức năng đăng nhập bằng dấu vân tay của ứng dụng quá tệ. cài đặt cho phép rồi, vài hôm vào lại bị mất vân tay phải cài đặt lại. rất bất tiện","chức_năng đăng_nhập bằng dấu vân_tay của ứng_dụng quá tệ . cài_đặt cho_phép rồi , vài hôm vào lại bị mất vân tay_phải cài_đặt lại . rất bất_tiện",negative,0,1,BIDV
"ứng dụng lỗi liên tục trên nền tảng android, yêu cầu đăng nhập lại liên tục khi đang sử dụng hoặc văng hẳn ra khi đang dùng. rất bất tiện khi sử dụng, bất tiện đến mức xem xét chuyển ngân hàng khác sau gần 10 năm sử dụng bidv","ứng_dụng lỗi liên_tục trên nền_tảng android , yêu_cầu đăng_nhập lại liên_tục khi đang sử_dụng hoặc văng hẳn ra khi đang dùng . rất bất_tiện khi sử_dụng , bất_tiện đến mức xem_xét chuyển ngân_hàng khác sau gần 10 năm sử_dụng bidv",negative,0,1,BIDV
"ứng dụng siêu ngoo, quét cd lỗi liên tục, xác thực vneid xong rồi vào lại bắt xác thực lại, 1 vòng luẩn quẩn, ngân hàng lớn mà cái ứng dụng quá tệ","ứng_dụng siêu_ngoo , quét cd lỗi liên_tục , xác_thực vneid xong rồi vào lại bắt xác_thực lại , 1 vòng luẩn_quẩn , ngân_hàng lớn mà cái ứng_dụng quá tệ",negative,0,1,BIDV
"cứ có việc cần vào thanh toán là lại lỗi, đầu năm giờ dính hơn chục phát. thôi đi tạo cảm ơn ngân hàng khác cho lành.","cứ có việc cần vào thanh_toán là lại lỗi , đầu năm giờ dính hơn chục phát . thôi đi tạo cảm_ơn ngân_hàng khác cho lành .",negative,0,1,BIDV
"tới lúc cần chuyển khoản làm ăn thì quay vòng vòng không giao dịch được gì trong khi mạng rất mạnh, những ngân hàng khác chạy bình thường có mỗi ứng dụng này là quay, mà cũng không báo trước khách hàng có bảo hành gì không","tới lúc cần chuyển_khoản làm_ăn thì quay_vòng_vòng không giao_dịch được gì trong khi mạng rất mạnh , những ngân_hàng khác chạy bình_thường có mỗi ứng_dụng này là quay , mà cũng không báo trước khách_hàng có bảo_hành gì không",negative,0,1,BIDV
"bảo trì vào mấy cái giờ giấc rất là oái ăm nhá, giờ giấc thì bảo trì xong vẫn không thể chuyển nổi 1 ngân hàng nào. không hiểu luôn?","bảo_trì vào mấy cái giờ_giấc rất là oái ăm_nhá , giờ_giấc thì bảo_trì xong vẫn không_thể chuyển nổi 1 ngân_hàng nào . không hiểu luôn ?",negative,0,1,BIDV
"rất tệ! chuyện là mình có bị hư điện thoại cũ, do chưa bật tính năng cho phép tính năng trên thiết bị mới, nên không đăng nhập được, có gọi lên trực tiếp tổng đài bidv để được hỗ trợ, thì các bạn tổng đài cứ vòng vo hỏi tùm lum, trong khi mình đã cung cấp, số c, số điện thoại đăng ký ngân hàng, ngày tháng năm sinh, họ và tên, số tiền trừ cuối cùng giao dịch và ngày đăng nhập cuối cùng, kể cả hỏi địa chỉ nhà, mình cũng cung cấp, và địa chỉ mở thẻ, cuối cùng nhận được gì, mất thời gian!","rất tệ ! chuyện là mình có bị hư điện_thoại cũ , do chưa bật tính_năng cho_phép tính_năng trên thiết_bị mới , nên không đăng_nhập được , có gọi lên trực_tiếp tổng_đài bidv để được hỗ_trợ , thì các bạn tổng_đài cứ vòng_vo hỏi tùm_lum , trong khi mình đã cung_cấp , số c , số điện_thoại đăng_ký ngân_hàng , ngày_tháng năm sinh , họ và tên , số tiền trừ cuối_cùng giao_dịch và ngày đăng_nhập cuối_cùng , kể_cả hỏi địa_chỉ nhà , mình cũng cung_cấp , và địa_chỉ mở thẻ , cuối_cùng nhận được gì , mất thời_gian !",negative,0,1,BIDV
"tôi mới tạo tài không ngân hàng, vào ứng dụng tôi cũng đã xác mình đổi mật khẩu hết rồi mà lúc tôi vào lại ứng dụng bắt tôi đăng nhập lại khi tôi còn không xóa hẳn thì không nói nhưng mật khẩu vẫn là mật khẩu lúc làm ở ngân hàng là thế nào?. thậm chí còn bắt xác minh lặp đi lặp lại thành ra chả vào được app.","tôi mới tạo tài không ngân_hàng , vào ứng_dụng tôi cũng đã xác mình đổi mật_khẩu hết rồi mà lúc tôi vào lại ứng_dụng bắt tôi đăng_nhập lại khi tôi còn không xóa hẳn thì không nói nhưng mật_khẩu vẫn là mật_khẩu lúc làm ở ngân_hàng là thế_nào ? . thậm_chí còn bắt xác_minh lặp_đi_lặp_lại thành_ra chả vào được app .",negative,0,1,BIDV
ngân hàng gì mà đăng kí tài khoản còn khó hơn mấy ngân hàng khác là sao? tôi không cs ý bôi nhọ gì ngân hg này nhm thực sự tôi đã bỏ hơn 30p để đki tài khoản bidv mà chẳng nhận lại được j. nào là đọc nfc mãi không đc! mất 1 lúc mới được tiếp đến là xác thực khuôn mặt 1. báo lỗi không thực hiện được 2. đã cs dữ liệu trong khi tôi mới làm lần đâu? thế bj lỗi là ngân hg tự như thế nào lưu dữ liệu của tôi là tôi xác thực lại không được hả? trải nghiệm tệ lắm luôn chả hiểu vì sao?,ngân_hàng gì mà đăng_kí tài_khoản còn khó hơn mấy ngân_hàng khác là sao ? tôi không cs_ý bôi_nhọ gì ngân_hg này nhm thực_sự tôi đã bỏ hơn 30 p để đki tài_khoản bidv mà chẳng nhận lại được j . nào là đọc nfc mãi không đc ! mất 1 lúc mới được tiếp đến là xác_thực khuôn_mặt 1 . báo lỗi không thực_hiện được 2 . đã cs dữ_liệu trong khi tôi mới làm lần đâu ?_thế bj lỗi là ngân_hg tự như_thế_nào lưu dữ_liệu của tôi là tôi xác_thực lại không được hả ? trải_nghiệm tệ lắm luôn chả hiểu vì sao ?,negative,0,1,BIDV
làm ăn chậm trễ không hoàn tiền về cho người tiêu dùng xong như lừa đảo,làm_ăn chậm_trễ không hoàn_tiền về cho người tiêu_dùng xong như lừa_đảo,negative,0,1,BIDV
"thẻ atm báo số không hợp lệ, trải nghiệm không tốt, rất tệ","thẻ atm báo số không hợp_lệ , trải_nghiệm không tốt , rất tệ",negative,0,1,BIDV
"gọi không bắt máy, đổi mình rồi thì đăng nhập không được còn bị kháo","gọi không bắt máy , đổi mình rồi thì đăng_nhập không được còn bị kháo",negative,0,1,BIDV
dạo này trừ phí quá tr luôn nhìu khi không bình thường trừ tiền gì nữa,dạo này trừ_phí quá tr luôn nhìu khi không bình_thường trừ tiền gì nữa,negative,0,1,BIDV
"lại lỗi , đổ xăng phải để cd ở lại , sợ quá thôi","lại lỗi , đổ xăng phải để cd ở lại , sợ quá thôi",negative,0,1,BIDV
"như thế nào mà ứng dụng lag quá vậy, wifi 4 vạch mà cũng load không nổi","như_thế_nào mà ứng_dụng lag quá vậy , wifi 4 vạch mà cũng load không nổi",negative,0,1,BIDV
"ứng dụng lúc nào cũng lỗi, nạp tiền không được, nạp data cũng không","ứng_dụng lúc_nào cũng lỗi , nạp tiền không được , nạp data cũng không",negative,0,1,BIDV
quét nfc thành công thì xong lại báo lỗi,quét nfc thành_công thì xong lại báo lỗi,negative,0,1,BIDV
ứng dụng bị văng ra ngoài khi mới vào,ứng_dụng bị văng ra ngoài khi mới vào,negative,0,1,BIDV
ứng dụng lỗi. một trải nghiệm quá tệ,ứng_dụng lỗi . một trải_nghiệm quá tệ,negative,0,1,BIDV
ngân hàng tự trừ phí gì lắm thế,ngân_hàng tự trừ_phí gì lắm thế,negative,0,1,BIDV
cập nhật hay bị lỗi lắm,cập_nhật hay bị lỗi lắm,negative,0,1,BIDV
tại như thế nào không đăng nhập được,tại như_thế_nào không đăng_nhập được,negative,0,1,BIDV
không giải quyết vấn đề,không giải_quyết vấn_đề,negative,0,1,BIDV
trừ tiền lung tung,trừ tiền lung_tung,negative,0,1,BIDV
ứng dụng l lỗi hoài,ứng_dụng l lỗi hoài,negative,0,1,BIDV
"quá chậm, quá lag","quá chậm , quá lag",negative,0,1,BIDV
bị qq gì cứ xoay mãi ?,bị qq gì cứ xoay mãi ?,negative,0,1,BIDV
ứng dụng quá chậm,ứng_dụng quá chậm,negative,0,1,BIDV
ứng dụng tệ hại,ứng_dụng tệ_hại,negative,0,1,BIDV
rác rưởi,rác_rưởi,negative,0,1,BIDV
kém,kém,negative,0,1,BIDV
"ứng dụng rất lởm khởm, đang dùng thì lỗi phải gỡ rồi cài đặt lại. muốn vào ứng dụng để chuyển khoản thì sồ ra 1 đống quảng cáo không liên quan, rất khó chịu. gọi tổng đài thì không bao giờ liên lạc được ngay, mãi mấy hôm sau mờ lò dò gọi lại hỏi","ứng_dụng rất lởm_khởm , đang dùng thì lỗi phải gỡ rồi cài_đặt lại . muốn vào ứng_dụng để chuyển_khoản thì sồ ra 1 đống quảng_cáo không liên_quan , rất khó_chịu . gọi tổng_đài thì không bao_giờ liên_lạc được ngay , mãi mấy hôm sau mờ lò_dò gọi lại hỏi",negative,0,1,BIDV
"ứng dụng đăng nhập, thao tác quá chậm. ứng dụng chỉ ưu tiên xài wifi, còn dữ liệu di động mặc dù đứng ngay trung tâm thành phố có 5g đăng nhập chuyển tiền cứ phải 1 hồi lâu mới được","ứng_dụng đăng_nhập , thao_tác quá chậm . ứng_dụng chỉ ưu_tiên xài wifi , còn dữ_liệu di_động mặc_dù đứng ngay trung_tâm thành_phố có 5 g đăng_nhập chuyển tiền cứ phải 1 hồi lâu mới được",negative,0,1,BIDV
ứng dụng lỗi liên tục. không báo thông báo mới về máy. càng cập nhật ứng dụng càng tệ. ứng dụng không tiện ích hơn mà càng thấy ngu đi. dùng không hề tiện cho khách hàng,ứng_dụng lỗi liên_tục . không báo thông_báo mới về máy . càng cập_nhật ứng_dụng càng tệ . ứng_dụng không tiện_ích hơn mà càng thấy ngu đi . dùng không hề tiện cho khách_hàng,negative,0,1,BIDV
"s bây giờ chuyển tiền cho người khác có vài trăm cũng nhận diện khuôn mặt, nhận diện được rồi lại vân ra, mong xem xét lại","s bây_giờ chuyển tiền cho người khác có vài trăm cũng nhận_diện khuôn_mặt , nhận_diện được rồi lại vân ra , mong xem_xét lại",negative,0,1,BIDV
"cái ứng dụng bidv quá kém chất lượng. tôi cho 1 sao. 1 ngân hàng lớn mà tốc độ tải duex liệu, thao tác trong ứng dụng thì quay như chong chóng. tôi sẽ hủy và không sử dụng ngân hàng bidv nữa. cả thẻ lẫn app. không sử dụng bidv nữa. tôi khuyên ae không nên sử dụng bidv nữa nha.","cái ứng_dụng bidv quá kém chất_lượng . tôi cho 1 sao . 1 ngân_hàng lớn mà tốc_độ tải duex_liệu , thao_tác trong ứng_dụng thì quay như chong_chóng . tôi sẽ hủy và không sử_dụng ngân_hàng bidv nữa . cả thẻ lẫn app . không sử_dụng bidv nữa . tôi khuyên ae không nên sử_dụng bidv nữa nha .",negative,0,1,BIDV
1. lãi xuất thấp 2. ứng dụng không tùy chỉnh thoải mái một số chức năng phụ. 3. giao diện những phần thừa chiếm hết màn hình làm khó tập trung mục chính. 4. ứng dụng theme không cho đổi phải lên hạng. 5. phần đổi quà là mục phụ cũng chiếm một mục dưới góc màn hình.,1 . lãi xuất thấp 2 . ứng_dụng không tùy_chỉnh thoải_mái một_số chức_năng phụ . 3 . giao_diện những phần thừa chiếm hết màn_hình làm_khó tập_trung mục chính . 4 . ứng_dụng theme không cho đổi phải lên hạng . 5 . phần đổi quà là mục phụ cũng chiếm một mục dưới góc màn_hình .,negative,0,1,BIDV
đăng nhập bằng vneid bắt xác thực đủ kiểu xong đăng nhập vào vneid rồi lại nhảy về bidv. xong bidv lại kêu phải xác thực lại rồi vào vneid cứ lặp đi lặp lại . cuối cùng vẫn không vào được ứng dụng,đăng nhập bằng vneid bắt xác_thực đủ kiểu xong đăng_nhập vào vneid rồi lại nhảy về bidv . xong bidv lại kêu phải xác_thực lại rồi vào vneid cứ lặp_đi_lặp_lại . cuối_cùng vẫn không vào được ứng_dụng,negative,0,1,BIDV
"ứng dụng smartbanking của bidv lỗi quá, xóa đi down lại mấy lần vẫn lỗi tự thoát ứng dụng. liên hệ thổng đài thì gặp phải qui trình ức chế hơn. phần giao diện tùy chọn mục yêu thích thiết kế khó sử dụng.","ứng_dụng smartbanking của bidv lỗi quá , xóa đi down lại mấy lần vẫn lỗi tự thoát ứng_dụng . liên_hệ thổng_đài thì gặp phải quy_trình ức_chế hơn . phần giao_diện tùy chọn mục_yêu thích thiết_kế khó sử_dụng .",negative,0,1,BIDV
"nộp thuế cũng không đc, thông tin đầy đủ, không sai sót gì mà không nộp thuế đc. chờ đợi mất thời gian.","nộp thuế cũng không đc , thông_tin đầy_đủ , không sai_sót gì mà không nộp thuế đc . chờ_đợi mất thời_gian .",negative,0,1,BIDV
cực không hài lòng. tìm cái thanh toán hóa đơn online mất quá nhiều thời gian. đưa về mục yêu thích thì không được. ứng dụng để nhiều rác vậy. rõ ràng lưu mã khách hàng thanh toán điện nước rồi mà cứ bắt nhập mã khách hàng. chán không buồn kêu nữa,cực không hài_lòng . tìm cái thanh_toán hóa đơn online mất quá nhiều thời_gian . đưa về mục yêu_thích thì không được . ứng_dụng để nhiều rác vậy . rõ_ràng lưu_mã khách_hàng thanh_toán điện nước rồi mà cứ bắt nhập_mã khách_hàng . chán không buồn kêu nữa,negative,0,1,BIDV
"sinh ra vân tay mà khi chuyển tiền vẫn bắt nhập otp, mà nhập thì số còn loạn lên, không hiểu sinh ra tính năng để làm gì nữa","sinh ra vân_tay mà khi chuyển tiền vẫn bắt nhập_otp , mà nhập thì số còn loạn lên , không hiểu sinh ra tính_năng để làm_gì nữa",negative,0,1,BIDV
